params 206.1M | tokens 350545 | seqs 350545 | device cuda:0 | world 8 | fa True | fp8 True
cfg batch 24 accum 1 seq 4096 grad_ckpt False doc_mask True attn_res True/4 softcap 15.0 warmup 150 epochs 1 lr_scale 0.5 mix data/mix.json
step 2700/14606 loss 3.363 | 81K tok/s/gpu | MFU 34%
step 2710/14606 loss 2.913 | 81K tok/s/gpu | MFU 34%
step 2720/14606 loss 2.950 | 81K tok/s/gpu | MFU 34%
step 2730/14606 loss 3.125 | 81K tok/s/gpu | MFU 34%
step 2740/14606 loss 3.021 | 81K tok/s/gpu | MFU 34%
step 2750/14606 loss 3.269 | 81K tok/s/gpu | MFU 34%
step 2760/14606 loss 2.897 | 81K tok/s/gpu | MFU 34%
step 2770/14606 loss 2.973 | 81K tok/s/gpu | MFU 34%
step 2780/14606 loss 3.013 | 81K tok/s/gpu | MFU 34%
step 2790/14606 loss 2.861 | 81K tok/s/gpu | MFU 34%
step 2800/14606 loss 2.889 | 78K tok/s/gpu | MFU 32%
step 2810/14606 loss 2.913 | 81K tok/s/gpu | MFU 34%
step 2820/14606 loss 2.918 | 81K tok/s/gpu | MFU 34%
step 2830/14606 loss 3.198 | 81K tok/s/gpu | MFU 34%
step 2840/14606 loss 3.041 | 81K tok/s/gpu | MFU 34%
step 2850/14606 loss 2.999 | 81K tok/s/gpu | MFU 34%
step 2860/14606 loss 3.036 | 81K tok/s/gpu | MFU 34%
step 2870/14606 loss 3.049 | 81K tok/s/gpu | MFU 34%
step 2880/14606 loss 3.098 | 81K tok/s/gpu | MFU 34%
step 2890/14606 loss 3.044 | 81K tok/s/gpu | MFU 34%
step 2900/14606 loss 2.986 | 81K tok/s/gpu | MFU 34%
step 2910/14606 loss 3.075 | 81K tok/s/gpu | MFU 34%
step 2920/14606 loss 3.047 | 81K tok/s/gpu | MFU 34%
step 2930/14606 loss 3.031 | 81K tok/s/gpu | MFU 34%
step 2940/14606 loss 3.266 | 81K tok/s/gpu | MFU 34%
step 2950/14606 loss 3.040 | 81K tok/s/gpu | MFU 34%
step 2960/14606 loss 2.962 | 81K tok/s/gpu | MFU 34%
step 2970/14606 loss 2.687 | 81K tok/s/gpu | MFU 34%
step 2980/14606 loss 2.791 | 81K tok/s/gpu | MFU 34%
step 2990/14606 loss 2.871 | 81K tok/s/gpu | MFU 34%
step 3000/14606 val 2.472
step 3000/14606 loss 3.166 | 49K tok/s/gpu | MFU 21%
step 3010/14606 loss 3.188 | 82K tok/s/gpu | MFU 34%
step 3020/14606 loss 2.857 | 81K tok/s/gpu | MFU 34%
step 3030/14606 loss 2.843 | 81K tok/s/gpu | MFU 34%
step 3040/14606 loss 2.944 | 81K tok/s/gpu | MFU 34%
step 3050/14606 loss 2.904 | 81K tok/s/gpu | MFU 34%
step 3060/14606 loss 3.036 | 81K tok/s/gpu | MFU 34%
step 3070/14606 loss 3.192 | 81K tok/s/gpu | MFU 34%
step 3080/14606 loss 2.826 | 81K tok/s/gpu | MFU 34%
step 3090/14606 loss 2.879 | 81K tok/s/gpu | MFU 34%
step 3100/14606 loss 3.048 | 81K tok/s/gpu | MFU 34%
step 3110/14606 loss 3.224 | 81K tok/s/gpu | MFU 34%
step 3120/14606 loss 3.014 | 81K tok/s/gpu | MFU 34%
step 3130/14606 loss 2.866 | 81K tok/s/gpu | MFU 34%
step 3140/14606 loss 2.902 | 81K tok/s/gpu | MFU 34%
step 3150/14606 loss 3.072 | 81K tok/s/gpu | MFU 34%
step 3160/14606 loss 3.202 | 81K tok/s/gpu | MFU 34%
step 3170/14606 loss 2.914 | 81K tok/s/gpu | MFU 34%
step 3180/14606 loss 3.049 | 81K tok/s/gpu | MFU 34%
step 3190/14606 loss 2.962 | 81K tok/s/gpu | MFU 34%
step 3200/14606 loss 2.998 | 78K tok/s/gpu | MFU 32%
step 3210/14606 loss 3.174 | 81K tok/s/gpu | MFU 34%
step 3220/14606 loss 3.097 | 81K tok/s/gpu | MFU 34%
step 3230/14606 loss 3.137 | 81K tok/s/gpu | MFU 34%
step 3240/14606 loss 2.767 | 81K tok/s/gpu | MFU 34%
step 3250/14606 loss 3.126 | 81K tok/s/gpu | MFU 34%
step 3260/14606 loss 3.077 | 81K tok/s/gpu | MFU 34%
step 3270/14606 loss 3.168 | 81K tok/s/gpu | MFU 34%
step 3280/14606 loss 3.072 | 81K tok/s/gpu | MFU 34%
step 3290/14606 loss 2.677 | 81K tok/s/gpu | MFU 34%
step 3300/14606 loss 2.853 | 81K tok/s/gpu | MFU 34%
step 3310/14606 loss 3.075 | 81K tok/s/gpu | MFU 34%
step 3320/14606 loss 3.091 | 81K tok/s/gpu | MFU 34%
step 3330/14606 loss 2.999 | 80K tok/s/gpu | MFU 34%
step 3340/14606 loss 2.752 | 81K tok/s/gpu | MFU 34%
step 3350/14606 loss 3.325 | 81K tok/s/gpu | MFU 34%
step 3360/14606 loss 3.065 | 81K tok/s/gpu | MFU 34%
step 3370/14606 loss 3.045 | 81K tok/s/gpu | MFU 34%
step 3380/14606 loss 3.005 | 81K tok/s/gpu | MFU 34%
step 3390/14606 loss 2.973 | 81K tok/s/gpu | MFU 34%
step 3400/14606 loss 2.803 | 78K tok/s/gpu | MFU 32%
step 3410/14606 loss 2.888 | 81K tok/s/gpu | MFU 34%
step 3420/14606 loss 3.202 | 81K tok/s/gpu | MFU 34%
step 3430/14606 loss 2.792 | 81K tok/s/gpu | MFU 34%
step 3440/14606 loss 2.873 | 81K tok/s/gpu | MFU 34%
