PATH                                                     LINES  LAST COMMIT           REACHED FROM                                   FATE
----------------------------------------------------------------------------------------------------------------------------------
scripts/env_fp.py                                           54  6ef7e7a 2026-08-30    import:algorithms/rlvr.py                      
scripts/eqcheck.py                                          61  9176f85 2026-08-30    ENTRY                                          
scripts/exp.py                                             186  9176f85 2026-08-30    ENTRY                                          
scripts/fetch_chat_data.py                                  81  9176f85 2026-08-30    docs:scripts/bootstrap_pod.sh                  
scripts/fetch_corpus.py                                    365  80486fa 2026-08-31    ENTRY                                          
scripts/fetch_math_data.py                                 221  9176f85 2026-08-30    docs:scripts/build_math_expand.sh              
scripts/fetch_sft_data.py                                  179  9176f85 2026-08-30    docs:scripts/bootstrap_pod.sh                  
scripts/fit_scaling.py                                     138  c669a4f 2026-08-31    docs:docs/standards/0830v1_gates.md            
scripts/gen_0094.py                                        133  aecba2d 2026-08-29    facts:scripts/restartability_baseline.json     
scripts/harness.py                                        4917  8199ee0 2026-08-31    ENTRY                                          
scripts/holdout.py                                         100  2b7efbd 2026-08-30    ENTRY                                          
scripts/holdout_split.py                                   126  c669a4f 2026-08-31    docs:docs/audits/audit_math_corpus.md          
scripts/launch_30b.sh                                       71  43ae7a3 2026-08-31    docs:scripts/launch_30b.sh                     
scripts/loader.py                                          287  da1d4b5 2026-08-31    ENTRY                                          
scripts/make_mixed.py                                       39  9176f85 2026-08-30    facts:scripts/restartability_baseline.json     
scripts/plot_curves.py                                      97  9176f85 2026-08-30    docs:scripts/run_pretrain.sh                   
scripts/pod_drift.py                                       346  ac6dd38 2026-08-31    ENTRY                                          
scripts/pod_push.sh                                         80  d2d252d 2026-08-31    ENTRY                                          
scripts/pod_sync_check.sh                                   19  a65bbbe 2026-08-30    ENTRY                                          
scripts/prepare_sft.py                                     348  4a30262 2026-08-31    docs:docs/lessons/reasoning_panel.md           
scripts/pretokenize.py                                      53  26c14d9 2026-08-30    ENTRY                                          
scripts/reachability.py                                    363  d546aab 2026-08-31    ENTRY                                          KEEP (add to AGENTS.md entry-point table)
scripts/rebuild_corpus.sh                                   74  9176f85 2026-08-30    docs:docs/standards/0830v1_gates.md            
scripts/rescore_code.py                                    104  89e7f9d 2026-08-31    docs:docs/standards/0830v1_gates.md            
scripts/restartability_audit.py                            237  9bf64d6 2026-08-30    ENTRY                                          
scripts/run_ablation.sh                                     27  c5c04b2 2026-08-30    ENTRY                                          
scripts/run_pipeline.sh                                     92  9176f85 2026-08-30    docs:scripts/run_pipeline.sh                   
scripts/run_pretrain.sh                                     47  9176f85 2026-08-30    docs:scripts/run_pretrain.sh                   
scripts/run_sft.sh                                          56  66bc906 2026-08-28    ENTRY                                          
scripts/sandbox_exec.py                                    118  a52ec68 2026-08-30    import:eval/code_zh.py                         
scripts/scan_contamination.py                               54  9176f85 2026-08-30    docs:docs/lessons/kept_methods.md              
scripts/scan_math_contamination.py                         574  80e8ae6 2026-08-31    docs:docs/audits/audit_math_corpus.md          
scripts/scan_scm_tests.py                                  100  e01c08f 2026-08-31    facts:facts/data_scaling.json                  
scripts/score_corpus.py                                    117  fd5f164 2026-08-30    ENTRY                                          
scripts/score_corpus.sh                                     43  21138ad 2026-08-31    docs:docs/standards/corpus_rebuild.md          
scripts/select_band.py                                      66  9176f85 2026-08-30    import                                         
scripts/shape_audit.py                                     138  db762ca 2026-08-30    ENTRY                                          
scripts/t2s_corpus.py                                      131  9176f85 2026-08-30    import                                         
scripts/test_arch_compat.py                                651  81e8cf0 2026-08-31    ENTRY                                          
scripts/test_e2e.py                                        254  26c14d9 2026-08-30    ENTRY                                          
scripts/test_scan_math_contamination.py                    116  d535674 2026-08-31    docs:docs/audits/audit_math_corpus.md          
scripts/test_sft_pack.py                                   145  da1d4b5 2026-08-31    ENTRY                                          
scripts/tokenizer_eval.py                                  360  9176f85 2026-08-30    ENTRY                                          
scripts/tokenizer_report.py                                485  9176f85 2026-08-30    ENTRY                                          
scripts/tokenizer_sweep.py                                 135  9176f85 2026-08-30    import:scripts/tokenizer_eval.py               
serve.py                                                   176  9176f85 2026-08-30    ENTRY                                          
sft.py                                                     186  9176f85 2026-08-30    ENTRY                                          
sft_math.py                                                251  1419b2c 2026-08-31    ENTRY                                          
train.py                                                  2078  81e8cf0 2026-08-31    ENTRY                                          

==================================================================================================================================
Total: 181 files, 60 entry points, 179 BFS-reachable, 164 citation edges, 0 unreachable (0 DELETE, 0 KEEP)
